Model,K,Value
5,10,0.09134845966644715
5,20,0.1540808005108333
5,50,0.2845036826163486
10,10,0.11809149058873507
10,20,0.19559071735379904
10,50,0.34780468685834587
40,10,0.14546553163219608
40,20,0.23621379285292846
40,50,0.4022641725785127
100,10,0.157819953478631
100,20,0.2529336200695389
100,50,0.42488552632142723
200,10,0.16372774033467422
200,20,0.2639359222408527
200,50,0.4391988841977771
300,10,0.16438338930989307
300,20,0.2658198173372819
300,50,0.44113859675127537
