Model,K,Value
Genre Baseline,10,0.0029385847285544582
Genre Baseline,20,0.002513313666142999
Genre Baseline,50,0.0032466189034902997
Personalised Genre,10,0.01269300026818921
Personalised Genre,20,0.01003984521665931
Personalised Genre,50,0.006640358606950481
Frequency,10,0.004003678019999171
Frequency,20,0.004720125665683122
Frequency,50,0.003201409907666393
LDA,10,0.0186927703919406
LDA,20,0.014763802153176221
LDA,50,0.00955748821884415
